Designator,Mid X,Mid Y,Rotation,Layer
R44,164.1,-80.4,270.0,bottom
R45,161.2,-83.4,270.0,bottom
R46,190.64,-99.2,270.0,bottom
R47,187.98,-99.199999,270.0,bottom
R48,183.06,-99.2,270.0,bottom
R49,180.4,-99.2,270.0,bottom
R5,146.5,-83.4,90.0,top
R50,177.939999,-99.2,270.0,bottom
R51,175.28,-99.2,270.0,bottom
R52,170.36,-99.2,270.0,bottom
R53,167.7,-99.2,270.0,bottom
R54,155.5,-99.2,270.0,bottom
R55,152.92,-99.209999,270.0,bottom
R56,147.8,-99.2,270.0,bottom
R57,145.2,-99.2,270.0,bottom
R58,142.7,-99.2,270.0,bottom
R59,140.08,-99.2,270.0,bottom
R6,135.799999,-74.4,180.0,bottom
R60,135.16,-99.2,270.0,bottom
R61,132.7,-99.2,270.0,bottom
R62,155.4,-68.33,270.0,bottom
R63,152.86,-68.33,270.0,bottom
R64,147.78,-68.33,270.0,bottom
R65,145.24,-68.33,270.0,bottom
R66,142.7,-68.33,270.0,bottom
R67,140.16,-68.33,270.0,bottom
R68,135.08,-68.33,270.0,bottom
R69,132.54,-68.33,270.0,bottom
R7,145.5,-83.4,90.0,top
R70,190.4,-68.33,270.0,bottom
R71,187.86,-68.33,270.0,bottom
R72,182.78,-68.33,270.0,bottom
R73,180.24,-68.33,270.0,bottom
R74,177.7,-68.33,270.0,bottom
R75,175.16,-68.33,270.0,bottom
R76,170.08,-68.33,270.0,bottom
R77,167.54,-68.33,270.0,bottom
R78,164.7,-84.2,270.0,bottom
R79,167.5,-78.9,180.0,bottom
R8,140.0,-76.990001,270.0,bottom
R80,163.1,-80.4,270.0,bottom
R81,122.97,-89.045,180.0,top
R82,122.97,-87.045,0.0,top
R83,148.5,-85.2,180.0,top
R9,165.7,-84.2,270.0,bottom
U1,132.3,-85.5,90.0,top
U2,126.2375,-72.35,180.0,top
U3,146.5,-78.5,180.0,top
U4,130.9,-81.0,90.0,top
U5,140.0,-78.5,180.0,top
U6,157.5,-80.0,90.0,top
U7,166.9,-81.2,270.0,top
U8,125.4,-88.4,180.0,top
Y1,137.9,-84.5,180.0,top
